Entry	UniProt Link	Entry Name	Organism	Recommended name	Alternative names	Gene Names
A0A098D1J7	https://www.uniprot.org/uniprotkb/A0A098D1J7	CLM2_GIBZE	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)	Cytochrome P450 monooxygenase CLM2 (EC 1.-.-.-)	Culmorin biosynthesis protein 2 (EC 1.-.-.-)	CLM2
A0A098DME4	https://www.uniprot.org/uniprotkb/A0A098DME4	DPFGE_GIBZE	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)	FAD-dependent monooxygenase dpfgE (EC 1.-.-.-)	Diterpenoid pyrone biosynthesis cluster protein E (EC 1.-.-.-)	dpfgE
A0A0A2JB87	https://www.uniprot.org/uniprotkb/A0A0A2JB87	TS1_PENEN	Penicillium expansum (Blue mold rot fungus)	(+)-aristolochene synthase TS1 (EC 4.2.3.9)	Sesquiterpene synthase TS1 (EC 4.2.3.9)	TS1
A0A0A2JP58	https://www.uniprot.org/uniprotkb/A0A0A2JP58	TS4_PENEN	Penicillium expansum (Blue mold rot fungus)	(+)-bicyclogermacrene synthase TS4 (EC 4.2.3.100)	Sesquiterpene synthase TS4 (EC 4.2.3.100)	TS4
A0A0A2K6S6	https://www.uniprot.org/uniprotkb/A0A0A2K6S6	STUA_PENEN	Penicillium expansum (Blue mold rot fungus)	Cell pattern formation-associated protein stuA		stuA
A0A0A6ZFR4	https://www.uniprot.org/uniprotkb/A0A0A6ZFR4	U74AE_PANGI	Panax ginseng (Korean ginseng)	UDP-glucosyltransferase 74AE2 (PgUGT74AE2) (EC 2.4.1.364)	PgUGT74AE2 (EC 2.4.1.364); UDP-glucosyltransferase 74A1 (EC 2.4.1.364); PgUGT74A1 (EC 2.4.1.364)	UGT74AE2
A0A0A6ZFY4	https://www.uniprot.org/uniprotkb/A0A0A6ZFY4	UGT29_PANGI	Panax ginseng (Korean ginseng)	UDP-glucosyltransferase 29 (UGTPg29) (EC 2.4.1.365)	UGTPg29 (EC 2.4.1.365); UDP-glucosyltransferase 94B1 (EC 2.4.1.365); PgUGT94B1 (EC 2.4.1.365); UDP-glucosyltransferase 94Q2 (EC 2.4.1.365); PgUGT94Q2 (EC 2.4.1.365)	UGT29
A0A0B2XGM8	https://www.uniprot.org/uniprotkb/A0A0B2XGM8	SUBC_METRA	Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075) (Metarhizium anisopliae (strain ARSEF 23))	Polyprenyl transferase subC (EC 2.5.1.-)	Subglutinol biosynthesis cluster protein C (EC 2.5.1.-)	subC
A0A0B4EB91	https://www.uniprot.org/uniprotkb/A0A0B4EB91	BTPSL_METAF	Metarhizium anisopliae (strain ARSEF 549)	Sesquiterpene synthase MAN_10655 (EC 4.2.3.-)	Bacterial terpene synthase-like protein MAN_10655 (EC 4.2.3.-); BTPSL (EC 4.2.3.-)	
A0A0B4FWC3	https://www.uniprot.org/uniprotkb/A0A0B4FWC3	BTPS1_METBS	Metarhizium brunneum (strain ARSEF 3297)	Sesquiterpene synthase MBR_10393 (EC 4.2.3.163)	Bacterial terpene synthase-like protein MBR_10393 (EC 4.2.3.171); BTPSL (EC 4.2.3.171)	
A0A0B4G3Q7	https://www.uniprot.org/uniprotkb/A0A0B4G3Q7	BTPS2_METBS	Metarhizium brunneum (strain ARSEF 3297)	Sesquiterpene synthase MBR_09977 (EC 4.2.3.163)	Bacterial terpene synthase-like protein MBR_09977 (EC 4.2.3.171); BTPSL (EC 4.2.3.171)	
A0A0B4G504	https://www.uniprot.org/uniprotkb/A0A0B4G504	TPS1_METBS	Metarhizium brunneum (strain ARSEF 3297)	(E)-beta farnesene synthase MBR_03882 (EC 4.2.3.47)	Typical fungal terpene synthase MBR_03882 (EC 4.2.3.47)	
A0A0B4GN88	https://www.uniprot.org/uniprotkb/A0A0B4GN88	BTPSL_METGA	Metarhizium guizhouense (strain ARSEF 977)	Sesquiterpene synthase MGU_11447 (EC 4.2.3.163)	Bacterial terpene synthase-like protein MGU_11447 (EC 4.2.3.171); BTPSL (EC 4.2.3.171)	
A0A0B4IF96	https://www.uniprot.org/uniprotkb/A0A0B4IF96	BTPSL_METMF	Metarhizium majus (strain ARSEF 297)	Sesquiterpene synthase MAJ_08936 (EC 4.2.3.163)	Bacterial terpene synthase-like protein MAJ_08936 (EC 4.2.3.171); BTPSL (EC 4.2.3.171)	
A0A0C3FBR2	https://www.uniprot.org/uniprotkb/A0A0C3FBR2	TERS_PILCF	Piloderma croceum (strain F 1598)	Sesquiterpene synthase PILCRDRAFT_825684 (EC 4.2.3.-)	Terpene cyclase PILCRDRAFT_825684 (EC 4.2.3.88)	
A0A0C9VD04	https://www.uniprot.org/uniprotkb/A0A0C9VD04	TERS_SPHS4	Sphaerobolus stellatus (strain SS14)	Sesquiterpene synthase M422DRAFT_47084 (EC 4.2.3.-)	Terpene cyclase M422DRAFT_47084 (EC 4.2.3.88)	
A0A0D2L718	https://www.uniprot.org/uniprotkb/A0A0D2L718	PROS_HYPSF	Hypholoma sublateritium (strain FD-334 SS-4)	Delta(6)-protoilludene synthase HYPSUDRAFT_138665 (EC 4.2.3.135)	Sesquiterpene synthase HYPSUDRAFT_138665 (EC 4.2.3.135); Terpene cyclase HYPSUDRAFT_138665 (EC 4.2.3.135)	
A0A0D4D912	https://www.uniprot.org/uniprotkb/A0A0D4D912	TPS3_XANST	Xanthium strumarium (Rough cocklebur)	Sesquiterpene synthase TPS3 (Germacrene A synthase) (EC 4.2.3.23)	Germacrene A synthase (EC 4.2.3.23); Terpene synthase 3 (EC 4.2.3.23); XsTPS3 (EC 4.2.3.23)	TPS3
A0A0D5ZDC8	https://www.uniprot.org/uniprotkb/A0A0D5ZDC8	UGT45_PANGI	Panax ginseng (Korean ginseng)	UDP-glucosyltransferase 45 (UGTPg45) (EC 2.4.1.-)	UGTPg45 (EC 2.4.1.-)	UGT45
A0A0E0SP71	https://www.uniprot.org/uniprotkb/A0A0E0SP71	ERG7_GIBZE	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)	Lanosterol synthase ERG7 (EC 5.4.99.7)	Ergosterol biosynthetic protein 7 (EC 5.4.99.7); Lanosterol cyclase ERG7 (EC 5.4.99.7); Oxidosqualene--lanosterol cyclase ERG7 (EC 5.4.99.7); OSC (EC 5.4.99.7)	ERG7
A0A0E3D8K9	https://www.uniprot.org/uniprotkb/A0A0E3D8K9	PENP_PENCR	Penicillium crustosum (Blue mold fungus)	Cytochrome P450 monooxygenase penP (EC 1.-.-.-)	Penitrem biosynthesis cluster protein P (EC 1.-.-.-)	penP
A0A0E3D8L0	https://www.uniprot.org/uniprotkb/A0A0E3D8L0	PENA_PENCR	Penicillium crustosum (Blue mold fungus)	Terpene cyclase penA (EC 5.4.99.-)	Penitrem biosynthesis cluster protein A (EC 5.4.99.-)	penA
A0A0E3D8L2	https://www.uniprot.org/uniprotkb/A0A0E3D8L2	PENL_PENCR	Penicillium crustosum (Blue mold fungus)	Cytochrome P450 monooxygenase PC-23 (EC 1.-.-.-)	Penitrem biosynthesis cluster protein 23 (EC 1.-.-.-)	PC-23
A0A0E3D8L3	https://www.uniprot.org/uniprotkb/A0A0E3D8L3	JANC_PENJA	Penicillium janthinellum (Penicillium vitale)	Prenyl transferase janC (EC 2.5.1.-)	Janthitremanes biosynthesis cluster protein C (EC 2.5.1.-)	janC
A0A0E3D8L5	https://www.uniprot.org/uniprotkb/A0A0E3D8L5	JANM_PENJA	Penicillium janthinellum (Penicillium vitale)	FAD-dependent monooxygenase janM (EC 1.-.-.-)	Janthitremanes biosynthesis cluster protein M (EC 1.-.-.-)	janM
A0A0E3D8L6	https://www.uniprot.org/uniprotkb/A0A0E3D8L6	PENM_PENCR	Penicillium crustosum (Blue mold fungus)	FAD-dependent monooxygenase penM (EC 1.-.-.-)	Penitrem biosynthesis cluster protein M (EC 1.-.-.-)	penM
A0A0E3D8L9	https://www.uniprot.org/uniprotkb/A0A0E3D8L9	PENH_PENCR	Penicillium crustosum (Blue mold fungus)	Short-chain dehydrogenase PC-15 (EC 1.1.1.-)	Penitrem biosynthesis cluster protein PC-15 (EC 1.1.1.-)	PC-15
A0A0E3D8M1	https://www.uniprot.org/uniprotkb/A0A0E3D8M1	PENK_PENCR	Penicillium crustosum (Blue mold fungus)	Cytochrome P450 monooxygenase PC-21 (EC 1.-.-.-)	Penitrem biosynthesis cluster protein PC-21 (EC 1.-.-.-)	PC-21
A0A0E3D8M2	https://www.uniprot.org/uniprotkb/A0A0E3D8M2	PENB_PENCR	Penicillium crustosum (Blue mold fungus)	Terpene cyclase penB (EC 4.2.3.-)	Penitrem biosynthesis cluster protein B (EC 4.2.3.-)	penB
A0A0E3D8M3	https://www.uniprot.org/uniprotkb/A0A0E3D8M3	JANA_PENJA	Penicillium janthinellum (Penicillium vitale)	Terpene cyclase janA (EC 5.4.99.-)	Janthitremanes biosynthesis cluster protein A (EC 5.4.99.-)	janA
A0A0E3D8M4	https://www.uniprot.org/uniprotkb/A0A0E3D8M4	PENN_PENCR	Penicillium crustosum (Blue mold fungus)	Monooxygenase PC-14 (EC 1.-.-.-)	Penitrem biosynthesis cluster 1 protein PC-14 (EC 1.-.-.-)	PC-14
A0A0E3D8M5	https://www.uniprot.org/uniprotkb/A0A0E3D8M5	JAND_PENJA	Penicillium janthinellum (Penicillium vitale)	Indole diterpene prenyltransferase janD (EC 2.5.1.-)	Penitrem biosynthesis cluster protein D (EC 2.5.1.-)	janD
A0A0E3D8M6	https://www.uniprot.org/uniprotkb/A0A0E3D8M6	PENJ_PENCR	Penicillium crustosum (Blue mold fungus)	Cytochrome P450 monooxygenase PC-20 (EC 1.-.-.-)	Penitrem biosynthesis cluster protein PC-20 (EC 1.-.-.-)	PC-20
A0A0E3D8M9	https://www.uniprot.org/uniprotkb/A0A0E3D8M9	JANG_PENJA	Penicillium janthinellum (Penicillium vitale)	Geranylgeranyl pyrophosphate synthase janG (GGPP synthase) (GGPPSase) (EC 2.5.1.-)	GGPP synthase (EC 2.5.1.1); GGPPSase (EC 2.5.1.29); (2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10); Dimethylallyltranstransferase (EC 2.5.1.10); Farnesyl diphosphate synthase (EC 2.5.1.10); Farnesyltranstransferase (EC 2.5.1.10); Geranylgeranyl diphosphate synthase (EC 2.5.1.10); Geranyltranstransferase (EC 2.5.1.10); Janthitremanes biosynthesis cluster protein G (EC 2.5.1.10)	janG
A0A0E3D8N0	https://www.uniprot.org/uniprotkb/A0A0E3D8N0	JANO_PENJA	Penicillium janthinellum (Penicillium vitale)	FAD-linked oxidoreductase janO (EC 1.1.1.-)	Janthitremanes biosynthesis cluster protein O (EC 1.1.1.-)	janO
A0A0E3D8N1	https://www.uniprot.org/uniprotkb/A0A0E3D8N1	PENC_PENCR	Penicillium crustosum (Blue mold fungus)	Prenyl transferase penC (EC 2.5.1.-)	Penitrem biosynthesis cluster protein C (EC 2.5.1.-)	penC
A0A0E3D8N3	https://www.uniprot.org/uniprotkb/A0A0E3D8N3	JANJ_PENJA	Penicillium janthinellum (Penicillium vitale)	Cytochrome P450 monooxygenase janJ (EC 1.-.-.-)	Janthitremanes biosynthesis cluster protein J (EC 1.-.-.-)	janJ
A0A0E3D8N4	https://www.uniprot.org/uniprotkb/A0A0E3D8N4	PEND_PENCR	Penicillium crustosum (Blue mold fungus)	Indole diterpene prenyltransferase penD (EC 2.5.1.-)	Penitrem biosynthesis cluster protein D (EC 2.5.1.-)	penD
A0A0E3D8N6	https://www.uniprot.org/uniprotkb/A0A0E3D8N6	PENO_PENCR	Penicillium crustosum (Blue mold fungus)	FAD-linked oxidoreductase penO (EC 1.1.1.-)	Penitrem biosynthesis cluster protein O (EC 1.1.1.-)	penO
A0A0E3D8N7	https://www.uniprot.org/uniprotkb/A0A0E3D8N7	JANQ_PENJA	Penicillium janthinellum (Penicillium vitale)	Cytochrome P450 monooxygenase janQ (EC 1.-.-.-)	Janthitremanes biosynthesis cluster protein Q (EC 1.-.-.-)	janQ
A0A0E3D8P0	https://www.uniprot.org/uniprotkb/A0A0E3D8P0	JANP_PENJA	Penicillium janthinellum (Penicillium vitale)	Cytochrome P450 monooxygenase janP (EC 1.-.-.-)	Janthitremanes biosynthesis cluster protein P (EC 1.-.-.-)	janP
A0A0E3D8P4	https://www.uniprot.org/uniprotkb/A0A0E3D8P4	PENG_PENCR	Penicillium crustosum (Blue mold fungus)	Geranylgeranyl pyrophosphate synthase penG (GGPP synthase) (GGPPSase) (EC 2.5.1.-)	GGPP synthase (EC 2.5.1.1); GGPPSase (EC 2.5.1.29); (2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10); Dimethylallyltranstransferase (EC 2.5.1.10); Farnesyl diphosphate synthase (EC 2.5.1.10); Farnesyltranstransferase (EC 2.5.1.10); Geranylgeranyl diphosphate synthase (EC 2.5.1.10); Geranyltranstransferase (EC 2.5.1.10); Penitrem biosynthesis cluster protein G (EC 2.5.1.10)	penG
A0A0E3D8P5	https://www.uniprot.org/uniprotkb/A0A0E3D8P5	PENU_PENCR	Penicillium crustosum (Blue mold fungus)	Cytochrome P450 monooxygenase PC-05 (EC 1.-.-.-)	Penitrem biosynthesis cluster protein PC-05 (EC 1.-.-.-)	PC-05
A0A0E3D8P8	https://www.uniprot.org/uniprotkb/A0A0E3D8P8	PENQ_PENCR	Penicillium crustosum (Blue mold fungus)	Cytochrome P450 monooxygenase penQ (EC 1.-.-.-)	Penitrem biosynthesis cluster protein Q (EC 1.-.-.-)	penQ
A0A0E3D8P9	https://www.uniprot.org/uniprotkb/A0A0E3D8P9	PENV_PENCR	Penicillium crustosum (Blue mold fungus)	O-acetyltransferase PC-16 (EC 2.3.1.-)	Penitrem biosynthesis cluster protein PC-16 (EC 2.3.1.-)	PC-16
A0A0E3D8Q1	https://www.uniprot.org/uniprotkb/A0A0E3D8Q1	PENE_PENCR	Penicillium crustosum (Blue mold fungus)	Aromatic prenyl transferase PC-22 (EC 2.5.1.-)	Penitrem biosynthesis cluster protein PC-22 (EC 2.5.1.-)	PC-22
A0A0E3D8Q2	https://www.uniprot.org/uniprotkb/A0A0E3D8Q2	JANB_PENJA	Penicillium janthinellum (Penicillium vitale)	Terpene cyclase janB (EC 4.2.3.-)	Janthitremanes biosynthesis cluster protein B (EC 4.2.3.-)	janB
A0A0F7TN06	https://www.uniprot.org/uniprotkb/A0A0F7TN06	AUSF_PENBI	Penicillium brasilianum	Austinoid biosynthesis clusters protein F		ausF
A0A0F7TN11	https://www.uniprot.org/uniprotkb/A0A0F7TN11	AUSR_PENBI	Penicillium brasilianum	Cytochrome P450 monooxygenase ausR (EC 1.-.-.-)	Austinoid biosynthesis clusters protein R (EC 1.-.-.-)	ausR
A0A0F7TN16	https://www.uniprot.org/uniprotkb/A0A0F7TN16	AUSK_PENBI	Penicillium brasilianum	Aldo-keto reductase ausK (EC 1.1.1.-)	Austinoid biosynthesis clusters protein K (EC 1.1.1.-)	ausK
A0A0F7TN60	https://www.uniprot.org/uniprotkb/A0A0F7TN60	AUSG_PENBI	Penicillium brasilianum	Cytochrome P450 monooxygenase ausG (EC 1.-.-.-)	Austinoid biosynthesis clusters protein G (EC 1.-.-.-)	ausG
A0A0F7TN65	https://www.uniprot.org/uniprotkb/A0A0F7TN65	AUSS_PENBI	Penicillium brasilianum	Austinoid biosynthesis clusters protein S		ausS
A0A0F7TN69	https://www.uniprot.org/uniprotkb/A0A0F7TN69	AUSJ_PENBI	Penicillium brasilianum	Austinoid biosynthesis clusters protein J		ausJ
A0A0F7TQP2	https://www.uniprot.org/uniprotkb/A0A0F7TQP2	AUSP_PENBI	Penicillium brasilianum	O-acyltransferase ausP (EC 2.3.1.-)	Austinoid biosynthesis clusters protein P (EC 2.3.1.-)	ausP
A0A0F7TRU0	https://www.uniprot.org/uniprotkb/A0A0F7TRU0	AUSH_PENBI	Penicillium brasilianum	Austinoid biosynthesis clusters protein H		ausH
A0A0F7TSZ1	https://www.uniprot.org/uniprotkb/A0A0F7TSZ1	AUSQ_PENBI	Penicillium brasilianum	O-acyltransferase ausQ (EC 2.3.1.-)	Austinoid biosynthesis clusters protein Q (EC 2.3.1.-)	ausQ
A0A0F7TSZ5	https://www.uniprot.org/uniprotkb/A0A0F7TSZ5	AUSI_PENBI	Penicillium brasilianum	Cytochrome P450 monooxygenase ausI (EC 1.-.-.-)	Austinoid biosynthesis clusters protein I (EC 1.-.-.-)	ausI
A0A0F7TWX5	https://www.uniprot.org/uniprotkb/A0A0F7TWX5	PBRA_PENBI	Penicillium brasilianum	Terpene cyclase pbrA (EC 4.2.3.-)	Aspterric acid biosynthesis cluster protein A (EC 4.2.3.-)	pbrA
A0A0F7TXA0	https://www.uniprot.org/uniprotkb/A0A0F7TXA0	AUSM_PENBI	Penicillium brasilianum	FAD-dependent monooxygenase ausM (EC 1.-.-.-)	Austinoid biosynthesis clusters protein M (EC 1.-.-.-)	ausM
A0A0F7TXA1	https://www.uniprot.org/uniprotkb/A0A0F7TXA1	AUSN_PENBI	Penicillium brasilianum	Polyprenyl transferase ausN (EC 2.5.1.-)	Austinoid biosynthesis clusters protein N (EC 2.5.1.-)	ausN
A0A0F7TXA5	https://www.uniprot.org/uniprotkb/A0A0F7TXA5	AUSC_PENBI	Penicillium brasilianum	FAD-binding monooxygenase ausC (EC 1.14.13.-)	Austinoid biosynthesis clusters protein C (EC 1.14.13.-)	ausC
