Entry	PMID_1	DOI_1	Title_1	Authors_1	Journal_1	Volume_1	Pages_1	Year_1	Type_1	Positions_1	URL_1	PMID_2	DOI_2	Title_2	Authors_2	Journal_2	Volume_2	Pages_2	Year_2	Type_2	Positions_2	URL_2	PMID_3	DOI_3	Title_3	Authors_3	Journal_3	Volume_3	Pages_3	Year_3	Type_3	Positions_3	URL_3	PMID_4	DOI_4	Title_4	Authors_4	Journal_4	Volume_4	Pages_4	Year_4	Type_4	Positions_4	URL_4	PMID_5	DOI_5	Title_5	Authors_5	Journal_5	Volume_5	Pages_5	Year_5	Type_5	Positions_5	URL_5	PMID_6	DOI_6	Title_6	Authors_6	Journal_6	Volume_6	Pages_6	Year_6	Type_6	Positions_6	URL_6	PMID_7	DOI_7	Title_7	Authors_7	Journal_7	Volume_7	Pages_7	Year_7	Type_7	Positions_7	URL_7	PMID_8	DOI_8	Title_8	Authors_8	Journal_8	Volume_8	Pages_8	Year_8	Type_8	Positions_8	URL_8	PMID_9	DOI_9	Title_9	Authors_9	Journal_9	Volume_9	Pages_9	Year_9	Type_9	Positions_9	URL_9	PMID_10	DOI_10	Title_10	Authors_10	Journal_10	Volume_10	Pages_10	Year_10	Type_10	Positions_10	URL_10	PMID_11	DOI_11	Title_11	Authors_11	Journal_11	Volume_11	Pages_11	Year_11	Type_11	Positions_11	URL_11	PMID_12	DOI_12	Title_12	Authors_12	Journal_12	Volume_12	Pages_12	Year_12	Type_12	Positions_12	URL_12	PMID_13	DOI_13	Title_13	Authors_13	Journal_13	Volume_13	Pages_13	Year_13	Type_13	Positions_13	URL_13	PMID_14	DOI_14	Title_14	Authors_14	Journal_14	Volume_14	Pages_14	Year_14	Type_14	Positions_14	URL_14	PMID_15	DOI_15	Title_15	Authors_15	Journal_15	Volume_15	Pages_15	Year_15	Type_15	Positions_15	URL_15	PMID_16	DOI_16	Title_16	Authors_16	Journal_16	Volume_16	Pages_16	Year_16	Type_16	Positions_16	URL_16	PMID_17	DOI_17	Title_17	Authors_17	Journal_17	Volume_17	Pages_17	Year_17	Type_17	Positions_17	URL_17	PMID_18	DOI_18	Title_18	Authors_18	Journal_18	Volume_18	Pages_18	Year_18	Type_18	Positions_18	URL_18	PMID_19	DOI_19	Title_19	Authors_19	Journal_19	Volume_19	Pages_19	Year_19	Type_19	Positions_19	URL_19	PMID_20	DOI_20	Title_20	Authors_20	Journal_20	Volume_20	Pages_20	Year_20	Type_20	Positions_20	URL_20	PMID_21	DOI_21	Title_21	Authors_21	Journal_21	Volume_21	Pages_21	Year_21	Type_21	Positions_21	URL_21	PMID_22	DOI_22	Title_22	Authors_22	Journal_22	Volume_22	Pages_22	Year_22	Type_22	Positions_22	URL_22	PMID_23	DOI_23	Title_23	Authors_23	Journal_23	Volume_23	Pages_23	Year_23	Type_23	Positions_23	URL_23	PMID_24	DOI_24	Title_24	Authors_24	Journal_24	Volume_24	Pages_24	Year_24	Type_24	Positions_24	URL_24	PMID_25	DOI_25	Title_25	Authors_25	Journal_25	Volume_25	Pages_25	Year_25	Type_25	Positions_25	URL_25	PMID_26	DOI_26	Title_26	Authors_26	Journal_26	Volume_26	Pages_26	Year_26	Type_26	Positions_26	URL_26	PMID_27	DOI_27	Title_27	Authors_27	Journal_27	Volume_27	Pages_27	Year_27	Type_27	Positions_27	URL_27	PMID_28	DOI_28	Title_28	Authors_28	Journal_28	Volume_28	Pages_28	Year_28	Type_28	Positions_28	URL_28	PMID_29	DOI_29	Title_29	Authors_29	Journal_29	Volume_29	Pages_29	Year_29	Type_29	Positions_29	URL_29	PMID_30	DOI_30	Title_30	Authors_30	Journal_30	Volume_30	Pages_30	Year_30	Type_30	Positions_30	URL_30	PMID_31	DOI_31	Title_31	Authors_31	Journal_31	Volume_31	Pages_31	Year_31	Type_31	Positions_31	URL_31	PMID_32	DOI_32	Title_32	Authors_32	Journal_32	Volume_32	Pages_32	Year_32	Type_32	Positions_32	URL_32	PMID_33	DOI_33	Title_33	Authors_33	Journal_33	Volume_33	Pages_33	Year_33	Type_33	Positions_33	URL_33	PMID_34	DOI_34	Title_34	Authors_34	Journal_34	Volume_34	Pages_34	Year_34	Type_34	Positions_34	URL_34	PMID_35	DOI_35	Title_35	Authors_35	Journal_35	Volume_35	Pages_35	Year_35	Type_35	Positions_35	URL_35	PMID_36	DOI_36	Title_36	Authors_36	Journal_36	Volume_36	Pages_36	Year_36	Type_36	Positions_36	URL_36
A0A075FBT3	24990389	10.1111/tpj.12589	Diterpene synthases of the biosynthetic system of medicinally active diterpenoids in Marrubium vulgare.	Zerbe P.; Chiang A.; Dullat H.; O'Neil-Johnson M.; Starks C.; Hamberger B.; Bohlmann J.	Plant J.	79	914-927	2014	journal article	NUCLEOTIDE SEQUENCE [MRNA]; FUNCTION; CATALYTIC ACTIVITY; PATHWAY; TISSUE SPECIFICITY	https://pubmed.ncbi.nlm.nih.gov/24990389/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A084R1H6	25015739	10.1186/1471-2164-15-590	Comparative genome sequencing reveals chemotype-specific gene clusters in the toxigenic black mold Stachybotrys.	Semeiks J.; Borek D.; Otwinowski Z.; Grishin N.V.	BMC Genomics	15	590-590	2014	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]; IDENTIFICATION; FUNCTION	https://pubmed.ncbi.nlm.nih.gov/25015739/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A084R1I1	25015739	10.1186/1471-2164-15-590	Comparative genome sequencing reveals chemotype-specific gene clusters in the toxigenic black mold Stachybotrys.	Semeiks J.; Borek D.; Otwinowski Z.; Grishin N.V.	BMC Genomics	15	590-590	2014	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]; IDENTIFICATION; FUNCTION; PATHWAY	https://pubmed.ncbi.nlm.nih.gov/25015739/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A084R1I4	25015739	10.1186/1471-2164-15-590	Comparative genome sequencing reveals chemotype-specific gene clusters in the toxigenic black mold Stachybotrys.	Semeiks J.; Borek D.; Otwinowski Z.; Grishin N.V.	BMC Genomics	15	590-590	2014	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]; IDENTIFICATION; FUNCTION	https://pubmed.ncbi.nlm.nih.gov/25015739/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A084R1J1	25015739	10.1186/1471-2164-15-590	Comparative genome sequencing reveals chemotype-specific gene clusters in the toxigenic black mold Stachybotrys.	Semeiks J.; Borek D.; Otwinowski Z.; Grishin N.V.	BMC Genomics	15	590-590	2014	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]; IDENTIFICATION; FUNCTION	https://pubmed.ncbi.nlm.nih.gov/25015739/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A084R1J2	25015739	10.1186/1471-2164-15-590	Comparative genome sequencing reveals chemotype-specific gene clusters in the toxigenic black mold Stachybotrys.	Semeiks J.; Borek D.; Otwinowski Z.; Grishin N.V.	BMC Genomics	15	590-590	2014	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]; IDENTIFICATION; FUNCTION	https://pubmed.ncbi.nlm.nih.gov/25015739/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A084R1J7	25015739	10.1186/1471-2164-15-590	Comparative genome sequencing reveals chemotype-specific gene clusters in the toxigenic black mold Stachybotrys.	Semeiks J.; Borek D.; Otwinowski Z.; Grishin N.V.	BMC Genomics	15	590-590	2014	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]; IDENTIFICATION; FUNCTION	https://pubmed.ncbi.nlm.nih.gov/25015739/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A084R1K1	25015739	10.1186/1471-2164-15-590	Comparative genome sequencing reveals chemotype-specific gene clusters in the toxigenic black mold Stachybotrys.	Semeiks J.; Borek D.; Otwinowski Z.; Grishin N.V.	BMC Genomics	15	590-590	2014	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]; IDENTIFICATION; FUNCTION	https://pubmed.ncbi.nlm.nih.gov/25015739/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A084R1K2	25015739	10.1186/1471-2164-15-590	Comparative genome sequencing reveals chemotype-specific gene clusters in the toxigenic black mold Stachybotrys.	Semeiks J.; Borek D.; Otwinowski Z.; Grishin N.V.	BMC Genomics	15	590-590	2014	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]; IDENTIFICATION; FUNCTION	https://pubmed.ncbi.nlm.nih.gov/25015739/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A084R1K6	25015739	10.1186/1471-2164-15-590	Comparative genome sequencing reveals chemotype-specific gene clusters in the toxigenic black mold Stachybotrys.	Semeiks J.; Borek D.; Otwinowski Z.; Grishin N.V.	BMC Genomics	15	590-590	2014	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]; IDENTIFICATION; FUNCTION	https://pubmed.ncbi.nlm.nih.gov/25015739/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A084R1K7	25015739	10.1186/1471-2164-15-590	Comparative genome sequencing reveals chemotype-specific gene clusters in the toxigenic black mold Stachybotrys.	Semeiks J.; Borek D.; Otwinowski Z.; Grishin N.V.	BMC Genomics	15	590-590	2014	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]; IDENTIFICATION; FUNCTION	https://pubmed.ncbi.nlm.nih.gov/25015739/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A084R1M6	25015739	10.1186/1471-2164-15-590	Comparative genome sequencing reveals chemotype-specific gene clusters in the toxigenic black mold Stachybotrys.	Semeiks J.; Borek D.; Otwinowski Z.; Grishin N.V.	BMC Genomics	15	590-590	2014	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]; IDENTIFICATION; FUNCTION	https://pubmed.ncbi.nlm.nih.gov/25015739/																																																																																																																																																																																																																																																																																																																																																																																																	
A0A084R1M7	25015739	10.1186/1471-2164-15-590	Comparative genome sequencing reveals chemotype-specific gene clusters in the toxigenic black mold Stachybotrys.	Semeiks J.; Borek D.; Otwinowski Z.; Grishin N.V.	BMC Genomics	15	590-590	2014	journal article	NUCLEOTIDE SEQUENCE [LARGE SCALE GENOMIC DNA]; IDENTIFICATION; FUNCTION	https://pubmed.ncbi.nlm.nih.gov/25015739/																																																																																																																																																																																																																																																																																																																																																																																																	
